ID,Review,Hotel_name,Hotel_Address,sentiment,area,risk_type,Traveller_Suitability,Improvement_Area,Aspect,Source
11,Recommended place for a short stay in Malaysia. There's a good night market nearby and we had the best food! Easy to get around.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
12,"The view from the swimming pool partially obscures the Twin Towers at Platinum2, but the pool view is still top-notch. The accommodation was spacious and comfortable, but it seems to retain an old feeling. If you don't consider it a luxury hotel and instead think about the spacious room and excellent pool view, it's really satisfactory for the price. Unlike the hotel, a separate caretaker manages the check-in and check-out process, and there’s a 500 ringgit deposit. I paid in cash and received an immediate refund upon checkout. I think I waited about 20 minutes for the room check at check-out. They respond to requests through KakaoTalk as well. It was a satisfying experience.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Budget Travellers,"Check-in, Booking & Payment Process",Staff & Service,agoda
13,"I booked a studio with a king size bed, but instead of checking in at building A, I checked in at building B, which is adjacent to the road, and I received a much better and larger apartment with two rooms and two beds. I had a spacious living room and an island-style kitchen, and there was a children's room along with a private bathroom and shower room. I couldn't have asked for a better stay for six days. However, the swimming pool was a bit short, and the Petronas Towers were somewhat blocked from view due to the nearby building, but the view of the KL Tower and Merdeka Tower was great, and it was suitable for cooling off from the heat during the day. It took about 20 minutes to walk in slippers from Suria Mall to the Petronas Towers in the late afternoon, which was comfortable enough for some exercise. I had sushi and rolls for dinner and breakfast, and I had a great time. If I go back, I would want to return to this place because it was the best value accommodation during my 15-night stay in Malaysia.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Family Travellers,No Major Improvement Needed,Room & Comfort,agoda
14,"Honestly, at this price, this size and quality of accommodation? It doesn't make sense. The room is very spacious and feels like it could be suitable for parties, but it seems everyone thinks the same, so parties are prohibited. It’s not a hotel but a luxury residence being used like a hotel. So, check-in is done by staff at the lobby sofa on the first floor with a list to check names (not done at the reception). If you are not someone who frequently calls the reception or requests housekeeping, there are no major inconveniences. The infinity pool is also very beautiful and nice (it’s quite long, which is good for swimming, and has a great view). The accommodation is extremely good and spacious for the price, so I definitely plan to revisit. However, it's a bit disappointing that a new building next door blocks the view of the famous tower, but it's still good value for money. The room has floor-to-ceiling windows and includes a shoe cabinet (very spacious), kitchen, living room (sofa + TV + table), bedroom, bathroom, and dressing room, providing ample living space. However, since there is no desk, if you need to work during your stay on a business trip, you'll have to consider that. The floor-to-ceiling windows offer a very nice view in the morning and at night. Highly recommended!",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Room & Comfort,agoda
15,"500 MYR safety deposit and too many rules. So I was stressed whether I am breaking any rules or not. Other than that tue room is awesome, great view. Has everything in the room. The swimming pool has great view but too much chlorine. Its a busy building but 24/7 staff at ground flood.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Room & Comfort,agoda
16,"Great place to stay in Kuala Lumpur. Location is very convenient as it is walking distance to the Petronas Towers. The rooms are huge and complete with facilities like a walk-in closet and a washing machine. The pool has a good view of the KL skyline. The only downside is that there are plenty of people staying in this hotel. But that's supposed to be a good sign, right?",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
17,"Nice location, super big room, well facility. Beautiful view! This hotel will be No1 choice when I come to KL",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
18,"Excellent choice for families, nice pool, good view, rooms are neat and all necessary facilities and location is also good",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
19,"Chose Platinum Deface 2, as you will get Petronas tower view. Platinum 1 doesn't give the complete view.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Minor Experience Risk,Leisure Travellers,Overall Experience,Overall Stay Experience,agoda
20,"Really love the location and the size of the house. So many space for activities. We rented the house for our training and spent most of the time at the house. Airconds were functioning well and we can grab food from basically anywhere. The only thing i want to comment is on the room deposit which i paid rm500 for 2 nights. But all and all, it was a very memorable stay!",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Location & Accessibility,agoda
21,"keadaan semua ok, tapi cadar dan bantal bau rokok.. bilik air tak bersih sgt..dekat celah2 batu kotor.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",neutral,klcc,Cleanliness/Hygiene Risk,Leisure Travellers,Cleanliness,Cleanliness,agoda
22,"First, I received a notification the day before my stay that the pool was under repair and would be unavailable, so I contacted them to request a cancellation since the pool was my main reason for staying. In the end, I did not receive a response from the hotel, but I was informed by Agoda that I could use the pool at the nearby sister hotel ***. When I checked it out, I found that ***'s pool was much better, definitely 2 or 3 times bigger, and I could see the Twin Towers, so I was very satisfied. I was surprised by the size of the room, but the TV didn’t work, and although I had reserved a room with a bathtub, the water was too warm to use. So, I will book *** next time.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",negative,klcc,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Facilities & Amenities,agoda
23,"The best hotel and suite I have ever stayed in, with all the facilities available, including a washing machine and cooking amenities. The view from the room was amazing, and the infinity pool was great.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
24,"Huge space! A kitchenette, dining area and 2 sleeping quarters. Perfect when travelling with 2 teenagers!",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
25,"We got a room on 39th floor and it had an amazing view and the room was also specious with most amenities except a full length mirror. Location is also great, it’s walking distance from Monorail (metro) and Twin Tower. It has a rooftop pool at 51th floor with amazing view. Great staff and room service. Will defensively recommend!",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
26,"My partner and I had a great stay at this serviced apartment and stayed for 5 nights. It was clean, comfortable, and thoughtfully designed. The room was cute, spacious, and just the right size. The view from the pool was amazing, though it does tend to get quite crowded most of the time. The location is convenient and it was easy to get around, with a mall less than a 10-minute walk away and a nearby Rapid KL station. Traffic in the area is generally manageable, but it can get busy during check-in and check-out hours. The staff were friendly and helpful throughout our stay. Overall, we had a wonderful experience—thank you!",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Couples,No Major Improvement Needed,Staff & Service,agoda
27,I was there for 4 days without breakfast...we were given our appartment on 29th Floor n d view was mesmerizing..... Skyline from our appartment was awesome n the view of KL and merdeka Towers was out of the world...refer attached photos...all appliances in appartment were working properly...our rooftop swimming pool was under maintenance but they allow us to use the pool in the next Dface building...n ya if u r reaching early before check in time u have to wait till 3PM...they won't allow u before that... So plan accordingly...overall it was a wonderful experience...go for it,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Business Travellers,No Major Improvement Needed,Facilities & Amenities,agoda
28,"We had a wonderful family stay at this property in Kuala Lumpur. The location was excellent allowing us to explore the city on foot. Also metro stations nearby are at walkable distance. View of KL tower from our room was fantastic. The staffs were good and met our needs throughout the stay. The facilities were top-notch, with a pool on the terrace. The facilities and cleanliness of this property was impeccable. Over all it was a great value for money.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Family Travellers,No Major Improvement Needed,Facilities & Amenities,agoda
29,We had a great experience at the hotel . The reception staffs were fantastic. Need to ensure the phone guest relations staffs are as professional as the counter staffs,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
30,"I had a great stay here. The staff were very helpful, the check-in process was smooth, and the room was spacious, clean, and comfortable.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Staff & Service,agoda
31,"We had beautiful apartment which was spacious for our lill ones to run around. Very attentive staffs and pool was to die for because of the spectacular view. Expect, we were told there’s no room service at this hotel so we had to walk all the way to a mall to eat . But ya it’s good to download app called (Grab) to get cheaper taxi and get ur food delivered to u.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Location & Accessibility,agoda
32,"One of the great view you can see from room we got room at 36th floor and it was one the best view , metro station is nearby . And one of the best hotel at great price .",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Room & Comfort,agoda
33,i cant tell how much i loved the hotel.one of my best stay bcz fortunely i got a studio apartment and that was the best thing!,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
34,"I had this satisfied stay, where i was warmly welcome by the front desk team and i enjoyed the view from the high floor property that i was upgraded to.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Staff & Service,agoda
35,Hotel is location is very good. Staff is very good. Is all staff is cooperative.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
36,"Never thought would had an apartment with cleaning service everyday which i prefer from a hotel, a very nice and big room with all the facility and very clean, amenities perfect, even my delicate skin match their shower gel when i forget to bring or buy mine, means they provide a top quality amenities. Check in and check out also fast, the view from 43rd floor was amazing especially at night. Two pillows for each person, clean and white bed sheet, hot water run well, AC super well, love it, and so much more. All were perfect. Will stay again here if go to KL.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
37,"Exceptional hotel or rather serviced apartments with a front desk. I would say that this place might be the best bang for your buck in terms of room size, view and facilities. Might have just ruined my hotel experiences with the size of the hotel for the price and I think I can't go back to a chain hotel with a tiny tiny room anymore. Views are to die for and very convenient to get around as it's near to 2 train stations. Overall would recommend and revisit again.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
38,"The facilities are very good, the service is also great and very comfortable to stay here while in KL.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
39,"Great stay at Deface Platinum Suite KL! The location is excellent, the staff were very friendly and helpful, and the rooms were clean and spacious. I definitely plan to stay here again.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Staff & Service,agoda
40,"The place offers an excellent location with easy access to transportation and shopping, complemented by wifi and hot water. The staff were very helpful.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Location & Accessibility,agoda
41,The check in wasn't great. They wanted the name on the booking to be exactly as it is in my passport. First time ever that has happened maybe it's a Malaysia thing. It took approx 15 minutes to sort out with Agoda costumer service which was great. The space was large and comfortable. The area was good just a short walk to shopping and sightseeing. The pool was nice on the rooftop and refreshing in the afternoon. The space is dated however there was plenty of hot water and the washer dryer combo was convenient. If I travelled to Kuala Lumpur again I would consider booking.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Maintenance/Facility Risk,Leisure Travellers,Room & Facility Maintenance,Room & Comfort,agoda
42,"Absolutely amazing stay! The room was modern, clean, and spacious with a fantastic view. The rooftop infinity pool has the most stunning views, even more beautiful at night!!!! Friendly staff and concierge. Very good location, close to Bukit Nanas and Dang Wangi stations",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
43,"I recently stayed at DEFACE Platinum Suite in Kuala Lumpur and had an exceptional experience. The staff provided top-notch service from check-in to check-out, and the suite was impeccably clean, spacious, and elegantly furnished with breathtaking city skyline views. The amenities, including a well-equipped kitchen, high-speed internet, luxurious bathroom, rooftop infinity pool, and fitness center, added to the overall comfort and luxury of the stay. Its prime location near major attractions, shopping centers, and dining options made it perfect for both leisure and business travelers. Overall, DEFACE Platinum Suite offers a perfect blend of excellent service, luxurious accommodations, and a convenient location, making it a highly recommended choice for anyone visiting Kuala Lumpur.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Business Travellers,No Major Improvement Needed,Staff & Service,agoda
44,The Deface Platinum Suites was great experience for us. We stayed for 3 nights there and found the suites exceptional in terms of services offered. The room was spacious with all the amenities with great view of the city. Would definitely recommend anyone coming to KL as the hotel is also on walk of around 8-10 min to KLCC city.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,agoda
45,"bilik selesa untuk keluarga, bersih, staff yang friendly, setiap aduan cepat bertindak, anak-anak seronok. Cuma jika peak season, penuh dengan foreigners",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Staff & Service,agoda
46,Our 5 day stay was super amazing! We are a family of 11 and they were able to accommodate us all. Staff are very good and easy to approach. Nice room and amenities. We will definitely come back here on DeFace ❤️,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Family Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
47,"This property offers great value with a fantastic location that makes exploring the area super easy, while the cleanliness is top-notch. The staff are incredibly friendly and attentive, ensuring a pleasant experience. Facilities like the pool are well-maintained, and parking is convenient. making this an ideal choice for anyone looking to enjoy their time away.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Location & Accessibility,agoda
48,"Our stay at Deface Platinum Suites was really good. Good and spacious suite with all amenities by like microwave, TV, refrigerator and kitchen accessories. It was clean and gave us a luxury experience. The city view from the room is an add-on. I read many review regarding the hotel refundable deposit discrepancy, but if you follow the guidelines which are actually very basic for any hotel, there shouldn’t be any problem. The receptionist Nida and other ladies were cooperative and helpful.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Overall Stay Experience,agoda
49,"This property exceeded my expectations with its unbeatable location, making it easy to explore the area. The cleanliness was top-notch, and the staff were friendly and attentive, ensuring a welcoming atmosphere. Facilities were well maintained and offered everything needed for a comfortable stay, providing excellent value for the price. Highly recommend this place for anyone looking for a great experience with low costs.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Staff & Service,agoda
50,Large and clean rooms with awesome views of the Kuala Lumpur skyline. Exceptional rooftop infinity swimming pool overlooking the KL Tower.,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Facilities & Amenities,agoda
51,"The hotel is clean, the location is quite convenient — booking Grab or taking the LRT is fast and easy. The pool view is very impressive. Especially, my kids absolutely loved the huge bathtub and the strong water flow. They soaked in there for so long and didn’t want to get out at all 😁",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Family Travellers,No Major Improvement Needed,Location & Accessibility,agoda
52,"The accommodation was comfortable, with a beautiful room and a great view. Parking was convenient, and the room was definitely worth the relatively affordable price. Will definitely come back again one day. All the staff were friendly, and the service was top-notch.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Budget Travellers,No Major Improvement Needed,Room & Comfort,agoda
53,"Pros: spacious and clean room with a nice city view. The swimming pool is awesome and well maintained. Conveniently located near the mono rail station, with the twin towers and KL Tower just a short distance away. Cons : breakfast not included. The complementary toothpaste and toothpaste provided are of very low quality.",DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",positive,klcc,Low Risk,Leisure Travellers,No Major Improvement Needed,Location & Accessibility,agoda
