Review_Text,Detected_Language,Translation_Applied,Translated_Text,Cleaned_Text,BERT_Text,Sentiment,Label_ID,Word_Count,no,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
"Convenient location, cosy apartment, but lacking the finishing touches - only two very thin towels provided, and you can only exchange them during the day; pool was not very clean; almost always a long wait for the elevator; not even basic tea and coffee-making facilities provided in the kitchenette.",translation_package_not_installed,False,"Convenient location, cosy apartment, but lacking the finishing touches - only two very thin towels provided, and you can only exchange them during the day; pool was not very clean; almost always a long wait for the elevator; not even basic tea and coffee-making facilities provided in the kitchenette.",convenient location cosy apartment but lacking the finishing touches only two very thin towels provided and you can only exchange them during the day pool was not very clean almost always a long wait for the elevator not even basic tea and coffee making facilities provided in the kitchenette,"Convenient location, cosy apartment, but lacking the finishing touches - only two very thin towels provided, and you can only exchange them during the day; pool was not very clean; almost always a long wait for the elevator; not even basic tea and coffee-making facilities provided in the kitchenette.",positive,2,49,157,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,12.45,1.35,"Positive indicators: convenient, very clean, clean; minor issue(s): can only",Location; Cleanliness; Facilities; Accessibility,Facility/Maintenance Risk,Suitable for convenience-focused travellers,Improve room facilities and maintenance
"Easy access to public transport i.e grab & mrt Walking distance to the mall (TRX, Bukit Bintang, Pavillion, Starhill, Lot 10, etc) Fast response from the host.",translation_package_not_installed,False,"Easy access to public transport i.e grab & mrt Walking distance to the mall (TRX, Bukit Bintang, Pavillion, Starhill, Lot 10, etc) Fast response from the host.",easy access to public transport i e grab mrt walking distance to the mall trx bukit bintang pavillion starhill lot etc fast response from the host,"Easy access to public transport i.e grab & mrt Walking distance to the mall (TRX, Bukit Bintang, Pavillion, Starhill, Lot 10, etc) Fast response from the host.",positive,2,26,151,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6.0,0.0,"Positive indicators: walking distance, easy access",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
Everything was good just the pillows are too soft better to change to slightly hard will be good.,translation_package_not_installed,False,Everything was good just the pillows are too soft better to change to slightly hard will be good.,everything was good just the pillows are too soft better to change to slightly hard will be good,Everything was good just the pillows are too soft better to change to slightly hard will be good.,positive,2,18,193,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,8.0,0.0,"Positive indicators: everything was good, good",General,No major risk detected,General traveller suitability,No major improvement issue detected
"Excellent location. Very clean apartment and cold aircon. However, waiting for the lift is a nightmare. Prepare to wait a good 15 mins.",translation_package_not_installed,False,"Excellent location. Very clean apartment and cold aircon. However, waiting for the lift is a nightmare. Prepare to wait a good 15 mins.",excellent location very clean apartment and cold air conditioning however waiting for the lift is a nightmare prepare to wait a good mins,"Excellent location. Very clean apartment and cold air conditioning. However, waiting for the lift is a nightmare. Prepare to wait a good 15 mins.",positive,2,23,156,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,19.7,0.0,"Positive indicators: excellent location, very clean, excellent",Location; Cleanliness; Facilities; Accessibility,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
"First of all, collecting the key wasn’t actually an issue. The pickup location was in the building directly opposite the apartment, so it was only a short walk away. However, the problems started when I checked in. The smart key card simply didn’t work. After dragging my luggage around and finally getting to the unit, I ended up waiting outside the room for about 20 minutes. I contacted customer service via WhatsApp. They did reply, but usually every 5 minutes or so, which felt quite slow considering I was locked out of the room and waiting in the hallway with my luggage. What frustrated me most was that they kept asking me to tap the card again and again, as if I had never used a key card before. They also repeatedly asked for videos, which I sent multiple times. Despite all that, the card still didn’t work. In the end, I was only able to enter using the door code instead of the smart key. If guests are expected to collect their own keys and handle a self check-in process, then at the very least everything should work properly when they arrive. Making sure the key card actually functions seems like the bare minimum. The room itself seemed fine at first, until I found two fake eyelashes stuck inside the blanket. Honestly, that was pretty disgusting. It immediately made me question whether the bedding had actually been changed or washed properly between guests. Not a great impression when it comes to cleanliness and hygiene. Another thing I found strange was that there were no facial tissues provided in the unit. Maybe it’s a small thing, but it’s something I normally expect from an Airbnb. Having to use toilet paper for everything felt a bit cheap and inconvenient. The elevator situation was also frustrating. For a building with more than 40 floors, having only three lifts serving each wing is simply not enough. During my stay, I regularly waited close to 10 minutes just to go up or down, which became quite annoying very quickly. Would I recommend staying here? Personally, no. There were just too many avoidable issues for me to overlook. I won’t be returning, and I’d suggest future guests think twice before booking.",translation_package_not_installed,False,"First of all, collecting the key wasn’t actually an issue. The pickup location was in the building directly opposite the apartment, so it was only a short walk away. However, the problems started when I checked in. The smart key card simply didn’t work. After dragging my luggage around and finally getting to the unit, I ended up waiting outside the room for about 20 minutes. I contacted customer service via WhatsApp. They did reply, but usually every 5 minutes or so, which felt quite slow considering I was locked out of the room and waiting in the hallway with my luggage. What frustrated me most was that they kept asking me to tap the card again and again, as if I had never used a key card before. They also repeatedly asked for videos, which I sent multiple times. Despite all that, the card still didn’t work. In the end, I was only able to enter using the door code instead of the smart key. If guests are expected to collect their own keys and handle a self check-in process, then at the very least everything should work properly when they arrive. Making sure the key card actually functions seems like the bare minimum. The room itself seemed fine at first, until I found two fake eyelashes stuck inside the blanket. Honestly, that was pretty disgusting. It immediately made me question whether the bedding had actually been changed or washed properly between guests. Not a great impression when it comes to cleanliness and hygiene. Another thing I found strange was that there were no facial tissues provided in the unit. Maybe it’s a small thing, but it’s something I normally expect from an Airbnb. Having to use toilet paper for everything felt a bit cheap and inconvenient. The elevator situation was also frustrating. For a building with more than 40 floors, having only three lifts serving each wing is simply not enough. During my stay, I regularly waited close to 10 minutes just to go up or down, which became quite annoying very quickly. Would I recommend staying here? Personally, no. There were just too many avoidable issues for me to overlook. I won’t be returning, and I’d suggest future guests think twice before booking.",first of all collecting the key wasn t actually an issue the pickup location was in the building directly opposite the apartment so it was only a short walk away however the problems started when i checked in the smart key card simply didn t work after dragging my luggage around and finally getting to the unit i ended up waiting outside the room for about minutes i contacted customer service via whatsapp they did reply but usually every minutes or so which felt quite slow considering i was locked out of the room and waiting in the hallway with my luggage what frustrated me most was that they kept asking me to tap the card again and again as if i had never used a key card before they also repeatedly asked for videos which i sent multiple times despite all that the card still didn t work in the end i was only able to enter using the door code instead of the smart key if guests are expected to collect their own keys and handle a self check in process then at the very least everything should work properly when they arrive making sure the key card actually functions seems like the bare minimum the room itself seemed fine at first until i found two fake eyelashes stuck inside the blanket honestly that was pretty disgusting it immediately made me question whether the bedding had actually been changed or washed properly between guests not a great impression when it comes to cleanliness and hygiene another thing i found strange was that there were no facial tissues provided in the unit maybe it s a small thing but it s something i normally expect from an airbnb having to use toilet paper for everything felt a bit cheap and inconvenient the elevator situation was also frustrating for a building with more than floors having only three lifts serving each wing is simply not enough during my stay i regularly waited close to minutes just to go up or down which became quite annoying very quickly would i recommend staying here personally no there were just too many avoidable issues for me to overlook i won t be returning and i d suggest future guests think twice before booking,"First of all, collecting the key wasn’t actually an issue. The pickup location was in the building directly opposite the apartment, so it was only a short walk away. However, the problems started when I checked in. The smart key card simply didn’t work. After dragging my luggage around and finally getting to the unit, I ended up waiting outside the room for about 20 minutes. I contacted customer service via WhatsApp. They did reply, but usually every 5 minutes or so, which felt quite slow considering I was locked out of the room and waiting in the hallway with my luggage. What frustrated me most was that they kept asking me to tap the card again and again, as if I had never used a key card before. They also repeatedly asked for videos, which I sent multiple times. Despite all that, the card still didn’t work. In the end, I was only able to enter using the door code instead of the smart key. If guests are expected to collect their own keys and handle a self check-in process, then at the very least everything should work properly when they arrive. Making sure the key card actually functions seems like the bare minimum. The room itself seemed fine at first, until I found two fake eyelashes stuck inside the blanket. Honestly, that was pretty disgusting. It immediately made me question whether the bedding had actually been changed or washed properly between guests. Not a great impression when it comes to cleanliness and hygiene. Another thing I found strange was that there were no facial tissues provided in the unit. Maybe it’s a small thing, but it’s something I normally expect from an Airbnb. Having to use toilet paper for everything felt a bit cheap and inconvenient. The elevator situation was also frustrating. For a building with more than 40 floors, having only three lifts serving each wing is simply not enough. During my stay, I regularly waited close to 10 minutes just to go up or down, which became quite annoying very quickly. Would I recommend staying here? Personally, no. There were just too many avoidable issues for me to overlook. I won’t be returning, and I’d suggest future guests think twice before booking.",positive,2,380,147,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,10.8,0.0,"Positive indicators: recommend, close to, cheap",Location; Cleanliness; Service; Facilities; Accessibility,Cleanliness Risk; Accessibility Risk; Facility/Maintenance Risk; Service Risk,Suitable for convenience-focused travellers; Not suitable for travellers with heavy luggage; Not ideal for cleanliness-sensitive guests,"Improve lift/accessibility information; Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
"First of all, the location is very strategic, near Bukit Bintang and with easy access to the MRT. The room was very clean and well-maintained. It even came with a water heater and Netflix, although the Netflix account had to be shared with other guests, so sometimes it wasn’t accessible. Stayed here for 3 nights and had a great experience overall. The facilities were amazing, especially the pool and gym, which were easily accessible. The stay was comfortable and convenient. Will definitely stay here again if I come back to Bukit Bintang in the future.",translation_package_not_installed,False,"First of all, the location is very strategic, near Bukit Bintang and with easy access to the MRT. The room was very clean and well-maintained. It even came with a water heater and Netflix, although the Netflix account had to be shared with other guests, so sometimes it wasn’t accessible. Stayed here for 3 nights and had a great experience overall. The facilities were amazing, especially the pool and gym, which were easily accessible. The stay was comfortable and convenient. Will definitely stay here again if I come back to Bukit Bintang in the future.",first of all the location is very strategic near bukit bintang and with easy access to the mrt the room was very clean and well maintained it even came with a water heater and netflix although the netflix account had to be shared with other guests so sometimes it wasn t accessible stayed here for nights and had a great experience overall the facilities were amazing especially the pool and gym which were easily accessible the stay was comfortable and convenient will definitely stay here again if i come back to bukit bintang in the future,"First of all, the location is very strategic, near Bukit Bintang and with easy access to the MRT. The room was very clean and well-maintained. It even came with a water heater and Netflix, although the Netflix account had to be shared with other guests, so sometimes it wasn’t accessible. Stayed here for 3 nights and had a great experience overall. The facilities were amazing, especially the pool and gym, which were easily accessible. The stay was comfortable and convenient. Will definitely stay here again if I come back to Bukit Bintang in the future.",positive,2,96,170,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,24.85,0.0,"Positive indicators: easy access, very clean, clean",Location; Cleanliness; Facilities; Comfort/Noise,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
Good location clean just they don’t have luggage storage a bit inconvenient otherwise very good I will stay again ! Value for your money!,translation_package_not_installed,False,Good location clean just they don’t have luggage storage a bit inconvenient otherwise very good I will stay again ! Value for your money!,good location clean just they don t have luggage storage a bit inconvenient otherwise very good i will stay again value for your money,Good location clean just they don’t have luggage storage a bit inconvenient otherwise very good I will stay again ! Value for your money!,positive,2,24,152,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,14.0,0.0,"Positive indicators: good location, stay again, clean",Location; Cleanliness; Accessibility,Accessibility Risk,Suitable for convenience-focused travellers; Not suitable for travellers with heavy luggage,Improve lift/accessibility information
"Good staff, good places, good facilities, near to mrt, easy going to go bukit bintang by walking. Cleanliness room,bed,toilet,kitchen,living room. Hope that it will stay the same when i come again.",translation_package_not_installed,False,"Good staff, good places, good facilities, near to mrt, easy going to go bukit bintang by walking. Cleanliness room,bed,toilet,kitchen,living room. Hope that it will stay the same when i come again.",good staff good places good facilities near to mrt easy going to go bukit bintang by walking cleanliness room bed toilet kitchen living room hope that it will stay the same when i come again,"Good staff, good places, good facilities, near to mrt, easy going to go bukit bintang by walking. Cleanliness room,bed,toilet,kitchen,living room. Hope that it will stay the same when i come again.",positive,2,35,162,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,8.0,0.0,"Positive indicators: near to, good",Location; Cleanliness; Service; Comfort/Noise,Cleanliness Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
"Great place, clean and in a fantastic! location. The check in instructions ware crystal cleare. Would definitely recommend anyone visiting Kuala Lumpure .",translation_package_not_installed,False,"Great place, clean and in a fantastic! location. The check in instructions ware crystal cleare. Would definitely recommend anyone visiting Kuala Lumpure .",great place clean and in a fantastic location the check in instructions ware crystal cleare would definitely recommend anyone visiting kuala lumpure,"Great place, clean and in a fantastic! location. The check in instructions ware crystal cleare. Would definitely recommend anyone visiting Kuala Lumpure .",positive,2,22,189,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,11.0,0.0,"Positive indicators: recommend, fantastic, clean",Location; Cleanliness; Service,Service Risk,General traveller suitability,Improve front desk/staff service training
"Great room view of skyline, very clean and comfortable room with hot water, wifi, iron, dryer, cutlery etc, 20 min walk to Jalan Alor Food Street",translation_package_not_installed,False,"Great room view of skyline, very clean and comfortable room with hot water, wifi, iron, dryer, cutlery etc, 20 min walk to Jalan Alor Food Street",great room view of skyline very clean and comfortable room with hot water wi fi iron dryer cutlery etc min walk to jalan alor food street,"Great room view of skyline, very clean and comfortable room with hot water, wi fi, iron, dryer, cutlery etc, 20 min walk to Jalan Alor Food Street",positive,2,26,160,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,10.0,0.0,"Positive indicators: comfortable, very clean, clean",Cleanliness; Facilities; Comfort/Noise; Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
"Great stay! The digital check-in and check-out process was seamless. The room was modern, clean, and fully equipped, including a washing machine, detergent, quality slippers, and complete kitchenware. It truly felt like home. .The view from the room was also beautiful. TRX Mall and the MRT are just a 5-minute walk away. The only minor drawback was that we couldn’t find a convenience store nearby. Otherwise, everything was excellent.",translation_package_not_installed,False,"Great stay! The digital check-in and check-out process was seamless. The room was modern, clean, and fully equipped, including a washing machine, detergent, quality slippers, and complete kitchenware. It truly felt like home. .The view from the room was also beautiful. TRX Mall and the MRT are just a 5-minute walk away. The only minor drawback was that we couldn’t find a convenience store nearby. Otherwise, everything was excellent.",great stay the digital check in and check out process was seamless the room was modern clean and fully equipped including a washing machine detergent quality slippers and complete kitchenware it truly felt like home the view from the room was also beautiful trx mall and the mrt are just a minute walk away the only minor drawback was that we couldn t find a convenience store nearby otherwise everything was excellent,"Great stay! The digital check-in and check-out process was seamless. The room was modern, clean, and fully equipped, including a washing machine, detergent, quality slippers, and complete kitchenware. It truly felt like home. .The view from the room was also beautiful. TRX Mall and the MRT are just a 5-minute walk away. The only minor drawback was that we couldn’t find a convenience store nearby. Otherwise, everything was excellent.",positive,2,72,192,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,13.75,0.0,"Positive indicators: beautiful, clean, excellent",Location; Cleanliness; Service,Service Risk,Suitable for convenience-focused travellers,Improve front desk/staff service training
"I had a great time with my family at Naibnb! Room was clean,well equipped and everything seems warm and cozy which made my holiday even better. Would definitely recommend my friends or anyone to visit Naibnb😊",translation_package_not_installed,False,"I had a great time with my family at Naibnb! Room was clean,well equipped and everything seems warm and cozy which made my holiday even better. Would definitely recommend my friends or anyone to visit Naibnb😊",i had a great time with my family at naibnb room was clean well equipped and everything seems warm and cozy which made my holiday even better would definitely recommend my friends or anyone to visit naibnb positive emoji,"I had a great time with my family at Naibnb! Room was clean,well equipped and everything seems warm and cozy which made my holiday even better. Would definitely recommend my friends or anyone to visit Naibnb positive emoji",positive,2,39,204,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6.0,0.0,"Positive indicators: recommend, clean",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
"I had a lovely stay here, the room was cozy and enough for a couple with many stuff and big baggages, the staff was helpful and responsive. One unfortunate thing was the bidet is leaky everytime it was used so it makes the bathroom floor wet and splash us. But overall it's a great stay so definitely would recommend this studio to others.",translation_package_not_installed,False,"I had a lovely stay here, the room was cozy and enough for a couple with many stuff and big baggages, the staff was helpful and responsive. One unfortunate thing was the bidet is leaky everytime it was used so it makes the bathroom floor wet and splash us. But overall it's a great stay so definitely would recommend this studio to others.",i had a lovely stay here the room was cozy and enough for a couple with many stuff and big baggages the staff was helpful and responsive one unfortunate thing was the bidet is leaky everytime it was used so it makes the bathroom floor wet and splash us but overall it is a great stay so definitely would recommend this studio to others,"I had a lovely stay here, the room was cozy and enough for a couple with many stuff and big baggages, the staff was helpful and responsive. One unfortunate thing was the bidet is leaky everytime it was used so it makes the bathroom floor wet and splash us. But overall it's a great stay so definitely would recommend this studio to others.",positive,2,64,199,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6.05,0.0,"Positive indicators: helpful, recommend",Service,No major risk detected,General traveller suitability,No major improvement issue detected
"I had a really great stay at this serviced apartment. The location is perfect there’s a shopping mall nearby within walking distance, which made everything super convenient. The room was very clean, spacious, and had everything I needed during my stay. The host was also amazing. Whenever I had any questions, they replied very quickly and I never had to wait long for help or information. Overall, this place was excellent and I would definitely recommend it to anyone visiting the area. I would happily stay here again",translation_package_not_installed,False,"I had a really great stay at this serviced apartment. The location is perfect there’s a shopping mall nearby within walking distance, which made everything super convenient. The room was very clean, spacious, and had everything I needed during my stay. The host was also amazing. Whenever I had any questions, they replied very quickly and I never had to wait long for help or information. Overall, this place was excellent and I would definitely recommend it to anyone visiting the area. I would happily stay here again",i had a really great stay at this serviced apartment the location is perfect there s a shopping mall nearby within walking distance which made everything super convenient the room was very clean spacious and had everything i needed during my stay the host was also amazing whenever i had any questions they replied very quickly and i never had to wait long for help or information overall this place was excellent and i would definitely recommend it to anyone visiting the area i would happily stay here again,"I had a really great stay at this serviced apartment. The location is perfect there’s a shopping mall nearby within walking distance, which made everything super convenient. The room was very clean, spacious, and had everything I needed during my stay. The host was also amazing. Whenever I had any questions, they replied very quickly and I never had to wait long for help or information. Overall, this place was excellent and I would definitely recommend it to anyone visiting the area. I would happily stay here again",positive,2,89,145,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,34.0,0.0,"Positive indicators: walking distance, convenient, very clean",Location; Cleanliness,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
"I really enjoyed my stay at naibnb the view from the room was incredible and the staff in reception are super helpful, they kept my luggage safe and in very professional way and the whole experience was perfect i highly recommend this place",translation_package_not_installed,False,"I really enjoyed my stay at naibnb the view from the room was incredible and the staff in reception are super helpful, they kept my luggage safe and in very professional way and the whole experience was perfect i highly recommend this place",i really enjoyed my stay at naibnb the view from the room was incredible and the staff in reception are super helpful they kept my luggage safe and in very professional way and the whole experience was perfect i highly recommend this place,"I really enjoyed my stay at naibnb the view from the room was incredible and the staff in reception are super helpful, they kept my luggage safe and in very professional way and the whole experience was perfect i highly recommend this place",positive,2,43,197,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,18.0,0.0,"Positive indicators: highly recommend, recommend, perfect",Service; Accessibility,Accessibility Risk; Service Risk,Not suitable for travellers with heavy luggage,Improve lift/accessibility information; Improve front desk/staff service training
"I would say that this is by far the Best service apartment that I have stayed at in Malaysia. It is really five stars hotel standard, well done and keep up the good job to you guys at NaiBnB Agile Bukit Bintang.",translation_package_not_installed,False,"I would say that this is by far the Best service apartment that I have stayed at in Malaysia. It is really five stars hotel standard, well done and keep up the good job to you guys at NaiBnB Agile Bukit Bintang.",i would say that this is by far the best service apartment that i have stayed at in malaysia it is really five stars hotel standard well done and keep up the good job to you guys at naibnb agile bukit bintang,"I would say that this is by far the Best service apartment that I have stayed at in Malaysia. It is really five stars hotel standard, well done and keep up the good job to you guys at NaiBnB Agile Bukit Bintang.",positive,2,42,161,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6.2,0.0,"Positive indicators: standard, best, good",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
