Original_Text,Translated_Text
"Penginapan yg sangat sangat baikk😁 Bilik bersih wangi, staff penyambut tetamu nya peramah senyum' 😁 Saya bagi 5⭐⭐⭐⭐⭐","A very very good stay 😁 The room is clean and fragrant, the reception staff is friendly and smiling' 😁 I give 5⭐⭐⭐⭐⭐"
Semua okay bagus adalah pokoknya,All okay good is the point
Sangat nyaman dan lokasi bagus,Very comfortable and good location
Allver good thanks Tanjina miss,Allver good thanks Tanjina miss
"Hotel ni mmg ddk tgh² bandar bukit bintang..smua bnda dkt je..tpi klau utk family mcm kurang sesuai..sbb bilik kecik walaupun bilik utk family..utk solo/berdua/bertia atau sekadar tempat singgah ok sgt²...btw staff, kebersihan..smua mantap..hotel selesa je..recommended klau nk hotel bajet..booking through agoda dpt murah sgt..hehehe","This hotel is really not in the city of Bukit Bintang..everything is close by..but it is not suitable for families..because the rooms are small even if they are for families..for solo/couples/couples or just a stopover is ok...btw staff, cleanliness..everything is good..the hotel is comfortable..recommended if you want a budget hotel..booking through agoda can be very cheap..hehehe"
Lokasi strategis,Strategic location
#NAME?,#NAME?
Selesa,Comfortable
Murah puas hati sangattt. Will repeat again ❤️❤️❤️❤️❤️,"Cheap, very satisfied. Will repeat again ❤️❤️❤️❤️❤️"
Semua bagus..mantap,All good... solid
Tanjina kesan yang sangat memuaskan,Tanjina a very satisfying effect
Sabrina was very good!!,Sabrina was very good!!
"Harga yang berpatutan, staff yang baik.blik everything oky...selesai..","Reasonable price, good staff. blik everything ok... finished.."
Berpuas hati...layanan bagus,Satisfied...good service
dapat harga murah besar berbaloi,get a great cheap price worth it
"bilik selesa untuk keluarga, bersih, staff yang friendly, setiap aduan cepat bertindak, anak-anak seronok. Cuma jika peak season, penuh dengan foreigners","comfortable room for families, clean, friendly staff, every complaint is acted upon quickly, children have fun. Only if it's peak season, full of foreigners"
best duduk sini dekat dengan bandar 😁 view lawa gile tempat paling best kalau kat tengah bandar 👍🏻 cuma view klcc dengan menara petronas je tak nampak,best to sit here close to the city 😁 lawa gile view is the best place if in the middle of the city 👍🏻 only klcc view with petronas tower can't be seen
murah bersih berbaloi byk kedai mkn nearby central,"cheap, clean, worth it, many restaurants nearby central"
Excellence location,Excellence location
di tengah2 bukit bintang x perlu jln jauh utk kemana mana,"in the middle of Bukit Bintang, you don't have to go far to get anywhere"
Bermlm 3 mlm,Lasts 3 nights
Sabrina oke..,Sabrina ok..
"Saya pesan 2 kamar Sudah saya minta untuk dibersihkan Ternyata cuma 1 kamar yg dibersihkan Yg 1 tidak, sehingga malam2 saya harus membersihkan sendiri kamar karna saya membawa anak balita Disampaikan juga gak langsung dibersihkan, nunggu lagi besok 🤨 Tapi klo dari lokasi sangat baik","I ordered 2 rooms. I asked for them to be cleaned. It turns out that only 1 room was cleaned and 1 wasn't, so at night I had to clean the room myself because I brought a toddler. It was also told that it wasn't cleaned straight away, wait again tomorrow 🤨 But the location is very good"
Area lot 10,Area lot 10
Murah dan dekat kemana aja dengan berjalan kaki di area bukit bintang,Cheap and close to everywhere on foot in the Bukit Bintang area
Tanjina nice 1,Tanjina nice 1
"เยื้องสถานีBukit Bingtang ลองค้นหาชื่อ รร ผ่านgoogleนะคะ ทำเลดีงามที่สุด ใก้ล,Jalan alor food st., Q Pocket,KKV,Sungei wang, Lot10 ,Farenhiet88,Pavilliom นั่งไป1สถานีหรือเดิน10นาทีห้างThe exchange TRX,ข้างซ้ายเดินไปนิดเจอPlaza Low Yatหลังห้างนี้ จะมีห้างTimes square ข้อเสีย ไม่มีตู้เย็น,โต๊ะข้างเตียง,ห้องแคบกางกระเป๋าเดินทางไม่ได้,มีมด,เตียงนอนสั้นเรานอนเท้าเกิน เราสูง165เอง ห้องน้ำเหม็นอับ ชื้น","Opposite Bukit Bingtang Station, try searching for the name of the school via Google. The best location, near Jalan Alor food st., Q Pocket, KKV, Sungei wang, Lot10, Farenhiet88, Pavilliom. Take one station or walk 10 minutes to The Exchange TRX department store, walk a little on the left and see Plaza Low Yat behind this department store. There will be the Times Square department store. Disadvantages: no refrigerator, bedside table, narrow room, can't put out a suitcase, there are ants, the bed is too short, I sleep with my feet over, I'm only 165 cm tall, the bathroom smells musty and humid."
"Lokasi strategis, cuma kamarnya sempit, jadi kurang nyaman","Strategic location, only the rooms are narrow, so it's not comfortable"
"Bilik bersoh,aircond sejuk,tempst tengah2 bandar kl..cuma ruang bilik Oueen agk kecil,kakitangan baik2","Cozy room, cold aircond, temp in the middle of the city...only Oueen's room is a bit small, good staff"
Nazim,Nazim
Check in dapat bilik bukan seperti yang booking dapat bilik standard tetapi booking deluxe.dengan tiada air sampai kemalamnya bila pergi tanya reception katanya 1 Bukit Bintang tiada air padahal hotel lain ada je.Mall pon ada je dan ada terdengar reception cakap dengan staff situ mereka tutup tangki.what?apa punya perangai lah buat macam tu makan duit orang .saya book 3 room terpaksa book hotel lain sebab masalah air dan ketidakjujuran staff situ dengan tiada air bilik tidak sama seperti booking.dengan staff lelaki cakap sangat kurang ajar ye.menipu banyak hotel ni..sangat sangat bad,"Checked in and got a room not like the one booked, got a standard room but booked a deluxe room. With no water until late at night, when I went to ask the reception, he said 1 Bukit Bintang had no water but there was only another hotel. The mall was there and there was the reception talking to the staff there that they were closing the tank. What? What kind of attitude do you have to eat people's money like that? I booked 3 rooms and had to book another hotel because of the water problem and the dishonesty of the staff there. The room with no water is not the same as the booking. The male staff said it was very rude. They cheated a lot of this hotel.. very very bad"
"Terletak di pusat kota, belanja lebih mudah","Located in the city center, shopping is easier"
sangat baik melangkah dr pintu sudah pusat bukit bintng,It's very good to walk from the door to the center of Bukit Bintng
No good,No good
Its Okay,Its Okay
Fasilitas oke,Facilities okay
Good stuff ekbal,Good stuff ekbal
"Semua ok,cuma saiz bilik tiada mempunyai tingkap dan tiada meja,ruang bilik agk kecil","Everything is ok, only the size of the room has no windows and no desk, the room is a bit small"
Sfo sabrina..,Info Sabrina..
Goood,Good
Tempatnta strategis kalau kita niat untuk berbisnis di kuala lumpur sebagai jastiper,Strategic place if we intend to do business in Kuala Lumpur as a Jastiper
Sublina,underscore
Sabrina and lahim,Sabrina and lahim
Late ch,Late ch
Nearest bukit bintang🫰,Nearest Bukit bintang🫰
Okay lah hotel dekat dengan makanan viral,"Okay, the hotel is close to viral food"
yes sabrina,yes sabrina
samia is a good host,samia is a good host
Not gest friendly,Not gest friendly
Moinul,thaw
Velue,Hairy
kalau nada bertiga dlm bilik memang tak disarankan ye. bilik sempit. tapi kalau untuk stay sehari dua ok lah. nak expect xbising? mmg x ye. suara bilik sblh kdgran. 🤣 tapi ok ok ja klau nak hotel bajet.,"if the tone of the three in the room is really not recommended. narrow room. but if you want to stay for a day or two, it's ok. do you want to expect xbising? not really. the sound of the room is loud. 🤣 but it's ok if you want a budget hotel."
i love it,i love it
staff very unfriendly . sadly,staff very unfriendly . sadly
Sengnaja mencari kesalahaan untuk mencuri wang deposit pelanggan.,Deliberately looking for fault to steal customer deposit money.
Please do not stay here. Bagi bilik TV rosak. 2 jam tunggu dari 11 malam untill 1 pagi still tak ok. Minta refund tak Nak bg. Last dapat tukar bilik jam 2 pagi. Deposit Rm300 staff inform refund dalam 24 hours tapi tak dapat refund! After 24jam call berkali kali no answer. After inform will report police then Baru dapat deposit.,"Please don't stay here. The TV booth was broken. 2 hour wait from 11pm untill 1am still not ok. Ask for a refund, don't share it. Last time you can change rooms at 2 am. Deposit Rm300 staff inform refund within 24 hours but no refund! After 24 hours calling several times no answer. After informing will report police then get deposit."
JUST OK,JUST OK
No,No
Kawasan yang serabut. Cari parking serabut. Nak tunggu lif lambat dah tu panas pulak. Dpt rumah yg seram. Book 2 malam stay 1 malam je.,"Difficult area. Finding parking is difficult. If you want to wait for the slow elevator, it's already hot. Got a scary house. Book 2 nights stay 1 night only."
If instant booking you have to wait until 6pm ?baru boleh masuk,If instant booking you have to wait until 6pm? You can enter
Terbaikkkk.. Semua nya ok,Best.. Everything is ok
Aircond perlu diservis semula oleh pihak hotel kerana beberapa bilik yg pernah duduk mmg dapat aircond yg sgt tidak sejuk.Pihak hotel juga telah memberi kipas agar tidak panas.Overall ok,The aircond needs to be serviced again by the hotel because some of the rooms that have been used have aircond that is not very cold. The hotel has also provided a fan to keep it from getting hot. Overall ok
1st hotel pilihan jika ke KL,1st choice hotel if going to KL
"Saya setiap kali jika travel ke KL akan menginap disini kerana berhampiran dengan banyak kemudahan seperti pengangkutan, Mall dan kedai makan. Hotel ini jugak lebih pravicy","Every time I travel to KL I will stay here because it is close to many facilities such as transport, malls and restaurants. This hotel is also more pravicy"
"Bilik sy sbnrnya bilik express tp sbb sy smpi KL Sentral hmpir pkul 6.00pg staf kta bilik sy xde tu dia upgrade jd eksekutif room.Rezeki sy. ..Tu dpt view menara 118 dgn lrt...bilik luas...puas ht...jln kaki 2 min dr KL Sentral smpi dh hotel.Area hotel byk kedai mkn...Kedai mamak Bistro,econsave,dobi dll...smua dkt..klo smpi lewat mlm pn x tkut sbb ramai org...check out pkul 1.00 ptg.Okla.Spe nk bg.Biasanya check out pkul 12.00 tgh hr.Bilik ada tv ada channel kartun dn movie,ada fridge..jika ada rezeki nnt sy dtg lg...","My room is actually an express room, but because I got to KL Sentral around 6.00am, the staff in my room was not there, he upgraded to an executive room. My fortune. ..You get a view of the 118 tower with the floor...spacious room...satisfied...walk 2 minutes from KL Sentral to the hotel.There are many restaurants in the hotel area...Mamak shop, Bistro, econsave, laundromat etc...everything is close..if you arrive late at night you won't be there because there are many people...check out at 1.00 pm. Okla. I want to give. Usually check out at 12.00 pm hr. The room has a TV, cartoon and movie channels, there is a fridge.. if there is any luck, I will come again..."
"Kedudukan yang baik dan mudah akses dengan grab, LRT dan sebagainya.","Good location and easy access by grab, LRT and so on."
Only parking problem,Only parking problem
parking je dkt situ kena byr sendiri and mahal,Even parking near there has to be paid for by yourself and is expensive
TV x Boleh tgk Keadaan sekeliling x MEMUASKAN,Can't watch TV. Surroundings are not SATISFACTORY
Cozy stay,Cozy stay
"Checkin cepat, tapi bilik penuh dengan ulat habuk @ ulat simen @ Plaster Bagworm…. Paling banyak atas siling belah kepala katil, atas siling dalam bilik mandi… atas tilam pun ada. Mula2 tak perasan sebab checkin lewat malam dan letih. The next day perasan sangat banyak seolah2 bilik ni tak pernah di vacuum… nampak kemas, tapi berhabuk. Book twin bed, means ada 2 orang.. tapi cawan satu. Takda tuala atau floormate, keluar bilik air je basah la lantai.. Ada nyamuk plak tu dlm bilik. I dah bunuh 2 ekor, still ada lagi, tak larat nak kejar.. Checkin was easy and smooth Kat G floor ada KMart Parking basement rm2.20 sejam!","Checkin was quick, but the room was full of dust worms @ cement worms @ Plaster Bagworms…. Most on the ceiling above the head of the bed, on the ceiling in the bathroom... even on the mattress. I didn't notice at first because I checked in late at night and I was tired. The next day I noticed a lot as if these rooms had never been vacuumed... they looked neat, but they were dusty. Book twin bed, means there are 2 people.. but one cup. There are no towels or floor mats, just go out of the bathroom and the floor is wet.. There are mosquitoes in the room. I've already killed 2, there are still more, it's hard to chase.. Checkin was easy and smooth on the G floor, there is a KMart Parking basement rm2.20 per hour!"
ok,ok
"Staff bangla dekat reception agak tidak membantu, bilik ok, cuma lift cuma buka 1.. lambat.. lain2 ok","Bangla staff near the reception is a bit unhelpful, the room is ok, only the elevator only opens 1.. slow.. the rest are ok"
"Mengalami gatal-gatal pada badan, bantal yang berbau","Experiencing itching on the body, smelly pillows"
Unexpected..Price murah tapi sgt cantik. Bilik level 11 mmg view cntik. Kna chck out sblm jam 12 if smbung ada chrges sebanyak RM 50. 1.10 minit je akan ada trus chrges no 2.. so total su bayar RM 100. So take note ye guys.. overall ok..,Unexpected.. Cheap price but very beautiful. Room level 11 has a beautiful view. Please check out before 12 o'clock if there is still a charge of RM 50. In 1.10 minutes there will be charge no. 2.. so in total I pay RM 100. So take note guys.. overall ok..
"tiada tempat nak parking, sangat sunyi, tidak mesra alam","no place to park, very quiet, not environmentally friendly"
okay skrg dah ada counter check in check out kat bawah..senang..depo rm100,okay now there is a check in check out counter below..easy..deposit rm100
Semua ok 👍🏻 kecuali aircon dalam bilik suhu 20 degree tapi rasa macam 25-26 degree sahaja… Iron rosak 2x saya minta tukar… the 3rd one baru ok 😅 yang lain ok 👍🏻 suggestion buat PPM berkala untuk peralatan elektrik dalam bilik… 4/5 ⭐️ That’s all and TQ 😊,Everything is ok 👍🏻 except the aircon in the room temperature is 20 degrees but it feels like 25-26 degrees only... The iron is broken 2x I asked to change it... the 3rd one is new ok 😅 the others are ok 👍🏻 suggestion to do periodic PPM for electrical equipment in the room... 4/5 ⭐️ That's all and TQ 😊
Great view,Great view
"Ok la utk rate di kl, kawasan semua ok tapi sedikit sempit utk standard queen bed, sbb tkde tingkap or anything, tpi tv ekon semua function cumanya pukul 2 pagi mcmtu tkde letrik, dlm pukul 4 baru ada mandi peluh la kita ni","It's ok for the rate at kl, the area is all ok but a little narrow for a standard queen bed, because there are no windows or anything, but the TV is all functional only at 2 in the morning and there is no electricity, at 4 o'clock we only have a sweat bath."
7 Nächte bezahlt. Aber nur 1 Nacht geblieben. Nicht schlafbar im Zimmer G11. In Zimmer G09 funktioniert die Toiletten Spülung nicht. Ich war 11. März 2026 dort.,"Paid for 7 nights. But only stayed 1 night. Unable to sleep in room G11. In room G09 the toilet doesn't flush. I was there March 11, 2026."
Pelayanannya bagus tapi luas kamarnya sangat sempit shg susah utk sholat.,The service is good but the room space is very narrow so it is difficult to pray.
"DALAM 11,30 AM 7.5 .26. SY TELAH DATANG KE HOTEL UTK CHECK IN BERSAME SUAMI SAYA..PADA MULA NYE SMUA OKY...TAPI KAMI TUNGGU AGAK LAME KERANA STAFF NYE SEDANG ON COLL...SETELAH DALAM 20 MINIT DIA BERCKP FON..SUAMI SAYA PUN BERKATE...BOLEH CHECK IN KAMI DULU SEBAB SAYA KURANG SIHAT.. TAPI BETINA BANGLADESH TU MENJAWAP DENGAN KURANG AJAR NYE..DUDUK SAYA URUSKAN... DAN BERMULALAH DI SITU BERLAWAN MULUT DENGAN SUAMI SAYA DALAM BAHASA BANGLADESH..... YG MEMBUAT SAYA RASE BETINA NI KURANGA AJAR SEBAB DIA SAME NAIK BERLAWAN CAKAP DENGAN SUAMI SAYA ..WALAUPUN SAYA CAKAP STOP...DIA TETAP TERUS BERBAHAS...SAMPAI LAH SYA RASE MELAMPAU... SAMPAI DIA CAKAP ..DIA TAK KESAH SYA LOCAL...YA DIA SO WHAT???YANG BUAT SYA BETUL2 TAK PUAS HATI SAMPAI SAAT NI... MANE ADAP? MANE SOP SBAGAI FO? MACM MNE BOLEH JDI CASTEMSR SERVICE KALAU PERANGAI MACAM ANJING? HIDUP JANGAN KURANG AJAR. BOS PUN KENE MAIN PERANAN CARI STAFF BUKAN TANGKAP BUAT ..HOTEL AWAK MEMANG MENJDI PILIHAN SAYA TIAP2 MINGGU..TAPI DGN CARI STAFF AWAK BOLEH BUAT CASTERMR LAGI...SEBAB KURANG AJAR .MUNGKIN MAK DIA TAK AJAR DEKAT KAMPUNG MACAM MANE ADAP BILE BERDEPAN DENGAN ORANG..JANGAN BEZA2 KAN ORANG TU ORANG MANE..SEBAB KITE SAME2 MANUSIA..BUKAN BINATANG MACAM FO BETINA TU ..DIA MENGHINA SYA SEBAGAI ORANG MELAYSIA...SEDANGKAN SAYA TAK CAKAP APE2 PUN DENGAN DIA PASAL ASAL USUL... KEPADA BOS..KENE PANDAI PILIH STAF SEBAGAI FO..TAK BOLEH TANGKAP BUATNYE...ITU SEBAB JADI MACM NI...","IN 11,30 AM 7.5 .26. I CAME TO THE HOTEL TO CHECK IN WITH MY HUSBAND..IN THE BEGINNING EVERYTHING WAS OKAY...BUT WE WAITED A LITTLE LONG BECAUSE THE STAFF WAS ON THE CALL...AFTER IN 20 MINUTES THEY ANSWERED THE PHONE..MY HUSBAND TOOK A KATE...CAN WE CHECK IN FIRST BECAUSE I AM NOT WELL..BUT THE BANGLADESH WOMAN ANSWERED RUDELY NYE..I SIT DOWN AND TAKE CARE OF IT... AND STARTED THERE FIGHTING WITH MY HUSBAND IN BANGLADESH..... WHICH MAKES ME FEEL I'M A FEMALE KURANGA AJAR BECAUSE HE SAME UP FIGHTING TALK TO MY HUSBAND ..EVEN IF I SAY STOP...HE KEPT TALKING...UNTIL I FEEL EXCESSIVE... UNTIL HE SPEAKS ..HE'S NOT VALID I'm LOCAL...YES HE'S SO WHAT? WHERE IS THE SOUP LIKE FO? MACM MNE CAN BE CASTEMSR SERVICE IF IT BEHAVES LIKE A DOG? LIVE DO NOT BE RUDE. THE BOSS IS HERE TO PLAY THE ROLE OF FINDING STAFF NOT ARRESTING FOR IT.. YOUR HOTEL DOES BECOME MY CHOICE EVERY WEEK..BUT WITH FINDING STAFF YOU CAN MAKE CASTERMR AGAIN...BECAUSE HE IS RUDE. MAYBE SHE DOESN'T TEACH NEAR THE VILLAGE HOW DOES IT BE WHEN DEALING WITH PEOPLE..DON'T DIFFERENTIAL BECAUSE PEOPLE ARE PEOPLE MANE..BECAUSE WE ARE HUMAN BEINGS..NOT AN ANIMAL LIKE THAT FEMALE FO..HE INSULTS ME AS A MALAYSIAN...WHILE I DON'T SPEAK ANYTHING TO HIM ABOUT THE ORIGIN...TO THE BOSS..HERE IS A GOOD CHOICE OF STAFF AS A FO..I CAN'T CATCH ME...THAT'S THE WHY IT HAPPENED..."
untuk tidur sahaja boleh tapi untuk jalan2x beli brg tak sesuai..bilik terlalu sempit.SOLAT PUN TAK LEPAS,"it's fine for sleeping only but for traveling, I bought an unsuitable brg.. the room is too narrow. THE PRAYER DOESN'T END"
Mintak deluxe room dapt standard room. Bilik air kecik sangat. Pili air patah pun gam pakai tape je. 😌,"Ask for a deluxe room and get a standard room. The water room is very small. Even if the water pipe is broken, I can't use tape. 😌"
mayb sbb kami lewat checking so bilik yang diberikan tidak sperti dalam iklan,maybe because we checked in late so the room we were given was not as advertised
"Sale, moisissure, puanteur, 7m2 au lieu de 15m2, les chambres ne correspondent pas aux photos, très bruyant","Dirty, mold, stench, 7m2 instead of 15m2, rooms do not match the photos, very noisy"
"Tandas kotor,plug rosak,hair dryer cakap disediakan tapi tadak,pergi minta hair dryer,dia bagi yang rosak(tak boleh guna),minta tukar staff cakap dia ada satu ja hair dryer??,,ini hotel ka apa?bilik sempit (ruang nak solat pon tadak) dalam gambar lain dapat lain,,staff can’t speak malay only English,ini malaysia kena pandai bahasa malaysia la,,","The toilet is dirty, the plug is broken, the hair dryer is said to be provided but not available, I went to ask for a hair dryer, he gave me a broken one (can't be used), asked for a change, the staff said he only has one hair dryer??"
Water issue,Water issue
Staf sombongnya melebihi orang kaya baru,His arrogant staff is more than the nouveau riche
"Kebersihan sangat kurang, bahkan kain sprei + handuk banyak rambut😌, kamar mandi bau kecoa","Cleanliness is very poor, even the sheets + towels have lots of hair😌, the bathroom smells of cockroaches"
Kamarnya sangat sempit. Tidak bisa bergerak,The room is very narrow. Can't move
Reception sering gak ada,There is often no reception
"kamar terlalu kecil, sangat berbeda jauh dengan foto. toilet kotor😞😭","the room is too small, very different from the photo. dirty toilet😞😭"
Toilet dirty,Toilet dirty
Macam hotel berhantu,Like a haunted hotel
Di agoda tampak kamarnya ok dan luas. Pas dateng bener2 sempit. Bau tak sedap. Sumpek bgt. Tdk ada jendela. Very bad. Staff tidak ramah. Saya sampe tidak jadi tidur di hotel ini dan sayang nya mereka tidak memberi kebijakan sama sekali atas pembatalan ini. Budget sya 1.7juta hilang begitu saja.,On Agoda the rooms look ok and spacious. When I arrived it was really narrow. Bad smell. Very stuffy. there are no windows. Very bad. Staff not friendly. I didn't even sleep at this hotel and unfortunately they don't provide any cancellation policy at all. My budget of 1.7 million just disappeared.
Haritu tak boleh tido sbb paip air pecah from floor mana tak tahu. Bising bunyi air smpai tingkat 3. Haha,"I couldn't sleep that day because the water pipe broke from the floor, I don't know where. Noisy sound of water up to the 3rd floor. Haha"
First time pergi hotel takde tv.,The first time I went to a hotel without a TV.
B tempat berdekatan dengan pavilion. Staff ada yang mesra ada yang tak.. bilik kecil kalau ada family. Lift diadakan setelah register di lobby tingkat 1. Susah untuk bawa naik lugguge menggunakan tangga.,B place near the pavilion. Some of the staff are friendly and some are not.. the room is small if you have a family. The elevator is available after registration in the lobby on the 1st floor. It is difficult to carry luggage up using the stairs.
我凌晨到达的酒店，因为我个人的操作定错了一个日期。我询问能不能让我更改一下让我今天入住，酒店工作人员拒绝了我更换日期的要求，并且无法退款。我与agoda交涉，agoda表示只能退给我一部分，最后也没有退还我的钱。我不得不支付了两晚的价格。这家店在这点非常流氓,"I arrived at the hotel early in the morning and set the wrong date due to my personal operation. I asked if I could change the date so that I could check in today. The hotel staff refused my request to change the date and no refund could be given. I negotiated with agoda, and agoda said it could only refund part of it to me. In the end, it did not refund my money. I had to pay the price for two nights. This store is very rogue in this regard"
"Kebersihan bilik kurang,toilet kecil & tiada kipas","Room cleanliness is poor, small toilet & no fan"
Masalah lift yang selalu brhenti. Perlu diselenggara dgn baik.,The problem of the elevator always stopping. Needs to be well maintained.
Kene scam dengan hotel,This is a scam with the hotel
チェックインより早く到着しました。荷物を預かってもらえないかと頼んだが、置いて行っても構わないが私しかいないからどうなっても一切責任は負わないと言われて仕方なく荷物を持ったままチェックインの時間まで外にいました。チェックイン時間を過ぎてもチェックインできずやっと入れたと思ったらカビ臭い掃除していない、水回りなど壊れている部屋に案内されました。廊下から爆音で音楽が聴こえてくるし、疲れている中、全てにおいて精神的環境に悪いので３泊分支払っていましたが泊まらずチェックアウトしました。もちろん返金もありませんでした。,"I arrived earlier than check-in. I asked if they could keep my luggage, but I was told that I could leave it there, but since I was the only one there, they wouldn't take any responsibility for what happened, so I had no choice but to stay outside with my luggage until check-in time. I couldn't check in even after the check-in time, and when I thought I finally got in, I was shown to a room that smelled of mold, had not been cleaned, and had broken plumbing. I could hear loud music coming from the hallway, and while I was tired, everything was bad for my mental health, so I checked out without staying even though I had paid for three nights. Of course there was no refund."
Soo bad,Come on
TV DI BILIK SAYA LANGSUNG TAK BERFUNGSI. DICADANGKAN BILIK DIPASTIKAN BERFUNGSI TV NYA,THE TV IN MY ROOM DIDN'T WORK. RECOMMENDED ROOM ENSURE THE TV WORKS
Aircond tak berfungsi. Bilik tidak di bersihkan walaupun beberapa kali minta bagitahu cleaner.,Aircond is not working. The room was not cleaned even after asking the cleaner several times.
Disappointed,Disappointed
