no,sentence,sentiment,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
11,"First of all, collecting the key wasn’t actually an issue. The pickup location was in the building directly opposite the apartment, so it was only a short walk away. However, the problems started when I checked in. The smart key card simply didn’t work. After dragging my luggage around and finally getting to the unit, I ended up waiting outside the room for about 20 minutes. I contacted customer service via WhatsApp. They did reply, but usually every 5 minutes or so, which felt quite slow considering I was locked out of the room and waiting in the hallway with my luggage. What frustrated me most was that they kept asking me to tap the card again and again, as if I had never used a key card before. They also repeatedly asked for videos, which I sent multiple times. Despite all that, the card still didn’t work. In the end, I was only able to enter using the door code instead of the smart key. If guests are expected to collect their own keys and handle a self check-in process, then at the very least everything should work properly when they arrive. Making sure the key card actually functions seems like the bare minimum. The room itself seemed fine at first, until I found two fake eyelashes stuck inside the blanket. Honestly, that was pretty disgusting. It immediately made me question whether the bedding had actually been changed or washed properly between guests. Not a great impression when it comes to cleanliness and hygiene. Another thing I found strange was that there were no facial tissues provided in the unit. Maybe it’s a small thing, but it’s something I normally expect from an Airbnb. Having to use toilet paper for everything felt a bit cheap and inconvenient. The elevator situation was also frustrating. For a building with more than 40 floors, having only three lifts serving each wing is simply not enough. During my stay, I regularly waited close to 10 minutes just to go up or down, which became quite annoying very quickly. Would I recommend staying here? Personally, no. There were just too many avoidable issues for me to overlook. I won’t be returning, and I’d suggest future guests think twice before booking.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,10.8,0,"Positive indicators: recommend, close to, cheap",Location; Cleanliness; Service; Facilities; Accessibility,Cleanliness Risk; Accessibility Risk; Facility/Maintenance Risk; Service Risk,Suitable for convenience-focused travellers; Not suitable for travellers with heavy luggage; Not ideal for cleanliness-sensitive guests,"Improve lift/accessibility information; Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
12,"Value staying, strategy location.",positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,7,0,"Positive indicators: strategy location, value staying",Location,No major risk detected,General traveller suitability,No major improvement issue detected
13,"Only beautiful sight. Twin tower / KL tower both see possible. Room is very big, but not clear.",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,5.4,0,Positive indicators: beautiful,General,No major risk detected,General traveller suitability,No major improvement issue detected
14,"Booked a studio, not even a single thing I found bad. Everything was just amazing, mainly the views I had got studio in 41st floor, amazing. The facilities are amazing they have nice sundeck view on 60th floor b wing nice place for watch sunset. It’s really a luxurious style of apartment with very affordable cost.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,22,2.5,"Positive indicators: affordable, amazing, nice; minor issue(s): bad",General,No major risk detected,General traveller suitability,No major improvement issue detected
15,Nice stay Staff Raisha thanks,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.76,0.08,Positive wording is stronger than negative wording; main aspect(s): Staff / Service.,Staff / Service,Low Risk,Suitable for guests who value helpful service.,Maintain responsive and friendly staff service.
16,"We really didn’t expect much on the accommodation but we were surprised when we arrived to the unit. It was very spacious, clean. No hassle to check-in since it is a self checked-in and no need to go to a reception. The unit is also within the heart of the city, easily to go to places by just walking.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,8.1,0,"Positive indicators: spacious, clean",Cleanliness; Service,Service Risk,General traveller suitability,Improve front desk/staff service training
17,Clean and spacious. Good value for money,positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,12,0,"Positive indicators: value for money, spacious, clean",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
18,good location,positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,5,0,"Positive indicators: good location, good",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
19,"Nice location, super big room, well facility. Beautiful view! This hotel will be No1 choice when I come to KL",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,9,0,"Positive indicators: beautiful, big room, nice",Location; Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
20,"We had a pleasant stay overall. It would be wonderful if a washing machine could be provided in the room for added convenience. Some of the decorative items are fixed to the tables and side tables, which limits their functionality. In addition, a comfortable sofa or dedicated seating area would greatly enhance the guest experience and provide a perfect place to sit back and enjoy the beautiful surroundings.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,23,0,"Positive indicators: pleasant stay, comfortable, wonderful",Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
21,"Easy access to public transport i.e grab & mrt Walking distance to the mall (TRX, Bukit Bintang, Pavillion, Starhill, Lot 10, etc) Fast response from the host.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6,0,"Positive indicators: walking distance, easy access",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
22,Tanjina thanks for good service,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.84,0.08,Positive wording is stronger than negative wording; main aspect(s): Staff / Service.,Staff / Service,Low Risk,Suitable for guests who value helpful service.,Maintain responsive and friendly staff service.
23,"very good hotel , food was so good and also clean and fresh",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.92,0.08,Positive wording is stronger than negative wording; main aspect(s): Cleanliness.,Cleanliness,Low Risk,Suitable for general short-stay travellers.,Maintain room cleanliness standards consistently.
24,Good location clean just they don’t have luggage storage a bit inconvenient otherwise very good I will stay again ! Value for your money!,positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,14,0,"Positive indicators: good location, stay again, clean",Location; Cleanliness; Accessibility,Accessibility Risk,Suitable for convenience-focused travellers; Not suitable for travellers with heavy luggage,Improve lift/accessibility information
25,everything is okay… -mrs sabrina,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
26,"Bersih selamat, berbaloi dengan harga",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.76,0.08,Positive wording is stronger than negative wording; main aspect(s): Cleanliness.,Cleanliness,Low Risk,Suitable for general short-stay travellers.,Maintain room cleanliness standards consistently.
27,Thank you miss Tanjina,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
28,I would recommend this place for the infinity pool which offers great view of the city center but not for the service nor comfort of the apartment. Trying it once is good but won’t be back again. There’s lots of improvement need to be done in terms of management.,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,5.7,0,"Positive indicators: recommend, good",Service; Facilities,Service Risk,General traveller suitability,Improve front desk/staff service training
29,The place is so pretty especially the view from the living room was so breathtaking. I highly recommend the place and we’ll surely go back.,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,12,0,"Positive indicators: highly recommend, breathtaking, recommend",General,No major risk detected,General traveller suitability,No major improvement issue detected
30,"Nice place, nice service, nice reception, nice to meet Ms. Sovia ☺️",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.88,0.08,Positive wording is stronger than negative wording; main aspect(s): Staff / Service.,Staff / Service,Low Risk,Suitable for guests who value helpful service.,Maintain responsive and friendly staff service.
31,"Cleanliness is superb, view is awesome, host is accommodating. Just perfect stay. We extended and didn't want to transfer hotel but we needed to go to other city. This place is awesome!",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,19.75,0,"Positive indicators: accommodating, perfect, awesome",Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
32,murah bersih berbaloi byk kedai mkn nearby central,positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,9,0,"Positive indicators: berbaloi, bersih, murah",General,No major risk detected,General traveller suitability,No major improvement issue detected
33,"Prime location and pretty comfortable. Little pricey for my budget, but overall worth it! Buying drinking water was somewhat unanticipated, although it was otherwise a decent stay😇 Will highly recommend (esp. if you’re planning a stay for more than a couple of nights)!",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,19.83,0,"Positive indicators: prime location, comfortable, highly recommend",Location; Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
34,Hotel is a budget one and good if you are mostly staying outside. They upgraded me proactively which was pleasing and they were flexible with the check in and check out time with some additional payment. Location is close to NU Sentral Mall and good I dian eateries around.,positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,6,0,"Positive indicators: close to, good",Location; Service,Service Risk,Suitable for convenience-focused travellers,Improve front desk/staff service training
35,"it was wonderful stay, Family enjoyed overall",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,8,0,"Positive indicators: wonderful, enjoyed",General,No major risk detected,General traveller suitability,No major improvement issue detected
36,𝘖𝘷𝘦𝘳𝘢𝘭𝘭 𝘪𝘴 𝘷𝘦𝘳𝘺 𝘨𝘰𝘰𝘥 𝘰𝘯𝘭𝘺 𝘵𝘪𝘮𝘦 𝘤𝘩𝘦𝘤𝘬 𝘪𝘯 𝘤𝘢𝘯 𝘸𝘢𝘪𝘵 𝘢 𝘧𝘦𝘸 𝘵𝘪𝘮𝘦 𝘣𝘦𝘤𝘢𝘶𝘴𝘦 𝘣𝘢𝘵𝘵𝘦𝘳𝘺 𝘭𝘰𝘤𝘬 𝘥𝘰𝘰𝘳 𝘱𝘳𝘰𝘣𝘭𝘦𝘮..,positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6,0,"Positive indicators: overall is very good, good",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
37,Best stay everrrrr well recommend,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,11,0,"Positive indicators: well recommend, recommend, best",General,No major risk detected,General traveller suitability,No major improvement issue detected
38,Hotel was nice... staffs are so helpful... Sabrina you are so good... Abbas helped a lot,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.84,0.08,Positive wording is stronger than negative wording; main aspect(s): Staff / Service.,Staff / Service,Low Risk,Suitable for guests who value helpful service.,Maintain responsive and friendly staff service.
39,"Excellent location. Very clean apartment and cold aircon. However, waiting for the lift is a nightmare. Prepare to wait a good 15 mins.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,19.7,0,"Positive indicators: excellent location, very clean, excellent",Location; Cleanliness; Facilities; Accessibility,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
40,"Value for money, but because of the 50 floor and only 4-8 working lifts, you have to wait a long time for the lift and thats really just the downside of it all. Room, parking, location is good. But if you have patience problem please dont come cause the lift is slow, only for the good-hearted",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,9.4,0,"Positive indicators: value for money, good",Location; Facilities; Parking; Accessibility,Parking Risk; Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve room facilities and maintenance; Improve front desk/staff service training
41,"Convenient location, cosy apartment, but lacking the finishing touches - only two very thin towels provided, and you can only exchange them during the day; pool was not very clean; almost always a long wait for the elevator; not even basic tea and coffee-making facilities provided in the kitchenette.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,12.45,1.35,"Positive indicators: convenient, very clean, clean; minor issue(s): can only",Location; Cleanliness; Facilities; Accessibility,Facility/Maintenance Risk,Suitable for convenience-focused travellers,Improve room facilities and maintenance
42,"if you looking for hotel at the heart of Bukit Bintang, u should choose this place!. very near from MRT, lot10, plaza sungei wang, and even pavilion. the staff is so nice, you'll meet a smiling girl named sofia as the niceeee receptionist :DD",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.76,0.08,"Positive wording is stronger than negative wording; main aspect(s): Staff / Service, Location.","Staff / Service, Location",Low Risk,Suitable for tourists and shoppers who want a central Bukit Bintang location.,Maintain location-based selling points and highlight nearby attractions.
43,"Very good stay, provided us with amenities like iron, ironing board, microwave, kitchen utensils etc. apartment was super clean. Check in check out was automated and very easy to follow. Views from the apartment were also great. we went to Swimming pool and it was mentioned under maintenance. The lift can sometimes take some time. Everything else apart from these 2 was great!",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,8,2,"Positive indicators: good stay, clean, good; minor issue(s): under maintenance",Cleanliness; Service; Facilities; Accessibility,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
44,Thanks nafis,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
45,The place is good but in a way to improve your rooms it has to be clean much more than what it is since we were annoyed from some mosquitoes there and that was the most important part and toilet need to clean much more tq,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,10.1,0,"Positive indicators: good, clean",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
46,We had a great experience at the hotel . The reception staffs were fantastic. Need to ensure the phone guest relations staffs are as professional as the counter staffs,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,5,0,Positive indicators: fantastic,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
47,"Very spacey and clean, easy access to monorail",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,9,0,"Positive indicators: easy access, spacey, clean",Location; Cleanliness,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
48,Staff friendly..bilik bersih.,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.8,0.08,"Positive wording is stronger than negative wording; main aspect(s): Cleanliness, Staff / Service.","Cleanliness, Staff / Service",Low Risk,Suitable for guests who value helpful service.,Maintain responsive and friendly staff service.
49,Amazing large apartment with stunning views over Kuala Lumpur,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,5,0,Positive indicators: amazing,General,No major risk detected,General traveller suitability,No major improvement issue detected
50,All good and recommended . Suggestion to keep a safe box in the apartment to keep the belongings as this was missing in comparison to other hosts.,positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,9,0,"Positive indicators: recommended, all good, good",General,No major risk detected,General traveller suitability,No major improvement issue detected
51,"Great room view of skyline, very clean and comfortable room with hot water, wifi, iron, dryer, cutlery etc, 20 min walk to Jalan Alor Food Street",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,10,0,"Positive indicators: comfortable, very clean, clean",Cleanliness; Facilities; Comfort/Noise; Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
52,"I would say that this is by far the Best service apartment that I have stayed at in Malaysia. It is really five stars hotel standard, well done and keep up the good job to you guys at NaiBnB Agile Bukit Bintang.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6.2,0,"Positive indicators: standard, best, good",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
53,"Thanks so much to Sofia who helped so much with the room, the front room was too noisy for us and it was very easy to change room with her help.",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.73,0.11,Positive wording is stronger than negative wording; main aspect(s): Room Comfort.,Room Comfort,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
54,"The reception is fully on service and without messy. The room is clean with few basic necessities. Room service is available daily. The pool is a bonus for stay. All in all, it’s quite a comfortable stay with a competitive price. Recommended.",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,10,0,"Positive indicators: recommended, comfortable, clean",Cleanliness; Service; Facilities; Comfort/Noise,Service Risk,General traveller suitability,Improve front desk/staff service training
55,"Good staff, good places, good facilities, near to mrt, easy going to go bukit bintang by walking. Cleanliness room,bed,toilet,kitchen,living room. Hope that it will stay the same when i come again.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,8,0,"Positive indicators: near to, good",Location; Cleanliness; Service; Comfort/Noise,Cleanliness Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
56,"It is good if you are hosting a huge group of friends and family. The pool view is gorgeous as well. Also, it is a walking distance from monorail and to KLCC. If you don’t mind walking it’s fine. They should have imposed shutter bus every hour or so. However please note that they will request a RM300 deposit and they could only refund to local account number only which is ridiculous to tourists. Please impose a card deposit just like any other hotels/serviced appartments.",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,6,0,"Positive indicators: walking distance, good, fine",Location; Service; Facilities,Service Risk,Suitable for convenience-focused travellers,Improve front desk/staff service training
57,Very convenient place to stay and move around,positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,7,0,"Positive indicators: very convenient, convenient",General,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
58,"letak hotel strategis, dekat kemana mana",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): Value / Price.,Value / Price,Low Risk,Suitable for budget-conscious travellers.,Continue promoting value-for-money positioning.
59,Just loved their hospitality. Everything was outstanding. 10 out of 10.,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,9,0,"Positive indicators: outstanding, loved",General,No major risk detected,General traveller suitability,No major improvement issue detected
60,bilik cantik lagi jimat,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
61,housekeeping doing job very well,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
62,Amazing property do check out,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,5,0,Positive indicators: amazing,General,No major risk detected,General traveller suitability,No major improvement issue detected
63,"Cheap, affordable and very strategic place..",positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,5,0,"Positive indicators: affordable, cheap",General,No major risk detected,General traveller suitability,No major improvement issue detected
64,"Im here for the infinity pool view but the pool closed due to pandemic.. the room was ok, nice view but not that clean... just an average room with good view at roof top",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,14.18,2.03,"Positive indicators: clean, good, nice; minor issue(s): closed",Cleanliness; Facilities,No major risk detected,General traveller suitability,No major improvement issue detected
65,"Just knew that deface suite and the Face suite is same building , knowing that deface suite is a private check in when we arrived in the lobby staff will not cares about you, you have to wait the owner of the suite you book on line,, however the room is huge good for the family i book 2 bedroom premium suite , big toilets, large living room, with kitchen , dinning and access to swimming pool with nice view of Petrona tower.",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,5.4,0,"Positive indicators: good, nice",Service; Facilities,Service Risk,General traveller suitability,Improve front desk/staff service training
66,"This is the 3rd time we stayed here and we always come back here due to its prime location and very convenient. Overall, highly recommendable location.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,11,0,"Positive indicators: very convenient, prime location, convenient",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
